id,win_date,account_name,salesforce_accountid,rep_name,opportunity_name,opportunity_stage,gtmx_team,account_prospecting_notes,opportunity_type,opportunity_software_mrr,line_items
ca8c9167d7d76a0f7cc372b8c6ba1068,2099-01-01,Moonlight Miso - Parent Account,001PV00000d7OSCYA2,Justin Loder,Amendment for contract #00500725,Open,Guest Pro,,Existing Business (Upsell),0.0,
17df36b53ac774aa07ff48fd70482792,2027-03-18,Black Sea Cafe and Market,001PV000030OBbtYAG,Daria Noori,Amendment for contract #00820086,Open,Guest Pro,,Existing Business (Upsell),0.0,
c514579f8190846847d7f9d6991d0aef,2027-03-17,Desi Chowrastha - Jacksonville,001PV00003093BeYAI,Kyle Wearner,Desi Chowrastha - Desi Chowrastha - Jacksonville DSP + Marketing,4. Demo Complete,Guest Pro,,Existing Business (Upsell),78.88,"Digital Storefront ($0.00), Digital Storefront ($0.00), Digital Storefront Pro Upgrade ($31.60), Gift Card Program Monthly Subscription ($21.35), Local by Toast ($0.00), Local by Toast ($0.00), Loyalty Program Monthly Subscription ($21.35), Marketing ($0.00), Marketing Monthly Subscription ($32.03), Online Ordering Monthly Subscription ($-63.75), Online Ordering Monthly Subscription ($32.03), SMS Marketing Base Subscription - 500 Monthly Texts ($4.27), Toast Delivery Service Subscription ($0.00), Toast Delivery Service Subscription ($0.00), Toast Digital Storefront Essentials ($0.00), Toast Digital Storefront Pro ($0.00), Toast Marketing Essentials ($0.00)"
094010bf100f227036024f1624710556,2027-02-23,,001PV00000qbsBcYAI,Lo Picton,Moe's Blaine #GuestPro,4. Demo Complete,true,,Existing Business (Upsell),,
a5e8cff2c2ecc7c84952bce45429dd75,2027-02-23,Liquid Leaf - Parent,001PV00002vic4ZYAQ,Rome Gomez,Amendment for contract #00805844,Open,Guest Pro,,Existing Business (Upsell),0.0,"4-Course Point-of-Sale Onboarding ($0.00), 4-Course Restaurant Point-of-Sale Onboarding ($0.00), Existing Concept Menu Carry Over ($0.00), Onboarding Recap ($0.00), Self Install ($0.00), Toast Classroom Live and On-Demand ($0.00)"
d69d8ac1a030e3cf0d8335693d277d73,2027-02-17,Cups-  UMMC Colony Park,001PV00002tESqAYAW,Kathryn Caine,Amendment for contract #00803854,Open,Guest Pro,,,0.0,Toast Kitchen Printer ($-169.50)
c750054d0f0f079b64e696d50a404374,2027-02-13,root bound coffee company,001PV00002sS4DVYA0,Kathryn Caine,Amendment for contract #00801265,Open,Guest Pro,,Existing Business (Upsell),0.0,"14"" Flex 3 Terminal w/ Guest Display, Toast Tap (OC), Printing Hub, Cash Drawer, MSR ($0.00), Toast Flex Terminal 14"" G3 ($0.00)"
bba7de3e63198055fbfee0701f31c411,2027-01-27,Williemacs - Raysville Marina,001PV00002pLg99YAC,Katrina Hayes,Amendment for contract #00790822,Open,Guest Pro,,Existing Business (Upsell),0.0,
0508d97200931ae6b861e7c7c6faba7f,2027-01-12,The Loose Moose - 2026,001PV00002l8JRBYA2,Maria Floyd,Amendment for contract #00783844,Open,Guest Pro,,Existing Business (Upsell),349.0,"Inventory Management ($50.00), Invoice Automation ($179.00), Recipe Costing ($50.00), Scheduling Pro ($70.00), xtraCHEF ($0.00), xtraCHEF Pro ($0.00)"
5aa3181ee1afb6b1d0bd1bdaec419ba5,2026-12-31,The Honey Cup,001PV00002hzaXtYAI,Justin Loder,Amendment for contract #00777581,Open,Guest Pro,,Existing Business (Upsell),0.0,
